Player,Round,DraftNumber,PreTeam,urlsummary,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position,Year
Malachi Flynn,1,29,San Diego State,https://basketball.realgm.com/player/Malachi-Flynn/Summary/89432,College,32.0,32.0,33.5,17.62,5.75,13.03,0.441,2.38,6.38,0.373,3.75,4.38,0.857,0.62,3.84,4.47,5.06,1.75,0.09,1.78,1.75,PG,2020
Desmond Bane,1,30,Texas Christian,https://basketball.realgm.com/player/Desmond-Bane/Summary/107663,College,32.0,32.0,36.1,16.59,6.16,13.62,0.452,2.88,6.5,0.442,1.41,1.78,0.789,1.44,4.91,6.34,3.88,1.47,0.53,2.31,2.19,SG,2020
Tyrell Terry,2,31,Stanford,https://basketball.realgm.com/player/Tyrell-Terry/Summary/117533,College,31.0,31.0,32.5,14.65,4.74,10.74,0.441,2.0,4.9,0.408,3.16,3.55,0.8909999999999999,0.35,4.13,4.48,3.19,1.39,0.06,2.65,2.06,PG,2020
Vernon Carey,2,32,Duke,https://basketball.realgm.com/player/Vernon-Carey-Jr/Summary/107983,College,31.0,30.0,24.8,17.81,6.42,11.13,0.5770000000000001,0.26,0.68,0.381,4.71,7.03,0.67,2.68,6.1,8.77,0.97,0.71,1.58,2.03,2.74,PF,2020
Daniel Oturu,2,33,Minnesota,https://basketball.realgm.com/player/Daniel-Oturu/Summary/121152,College,31.0,31.0,34.0,20.1,7.68,13.65,0.563,0.61,1.68,0.365,4.13,5.84,0.7070000000000001,3.74,7.52,11.26,1.1,0.55,2.45,2.84,2.68,FC,2020
Theo Maledon,2,34,ASVEL Basket (France),https://basketball.realgm.com/player/Theo-Maledon/Summary/105847,Overseas,46.0,23.0,17.3,7.28,2.39,5.67,0.421,0.85,2.54,0.333,1.65,2.13,0.7759999999999999,0.17,1.74,1.91,2.72,0.46,0.13,1.63,2.67,PG,2020
Xavier Tillman Sr,2,35,Michigan State,https://basketball.realgm.com/player/Xavier-Tillman-Sr/Summary/88905,College,31.0,31.0,32.1,13.71,5.32,9.68,0.55,0.42,1.61,0.26,2.65,3.97,0.667,2.68,7.65,10.32,3.0,1.19,2.1,1.97,2.61,PF,2020
Tyler Bey,2,36,Colorado,https://basketball.realgm.com/player/Tyler-Bey/Summary/85695,College,31.0,30.0,29.0,13.84,4.52,8.52,0.53,0.42,1.0,0.419,4.39,5.9,0.743,2.0,7.03,9.03,1.48,1.55,1.16,2.42,1.9,PF,2020
Vit Krejci,2,37,Zaragoza U18 (Spain),https://basketball.realgm.com/player/Vit-Krejci/Summary/95013,Overseas,37.0,4.0,9.2,3.16,1.24,2.24,0.5539999999999999,0.32,0.95,0.343,0.35,0.65,0.542,0.32,0.92,1.24,0.68,0.27,0.11,0.57,1.54,PG,2020
Saben Lee,2,38,Vanderbilt,https://basketball.realgm.com/player/Saben-Lee/Summary/95908,College,32.0,17.0,32.8,18.56,6.25,12.94,0.483,1.22,3.78,0.322,4.84,6.44,0.752,0.56,2.97,3.53,4.19,1.53,0.28,3.09,1.78,PG,2020
Elijah Hughes,2,39,Syracuse,https://basketball.realgm.com/player/Elijah-Hughes/Summary/95914,College,32.0,32.0,36.7,19.03,6.19,14.5,0.4270000000000001,2.44,7.12,0.342,4.22,5.19,0.813,0.44,4.5,4.94,3.41,1.16,0.81,2.28,1.81,SF,2020
