DraftNumber,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position
30,College,32.0,0.0,12.7,3.28,1.19,3.69,0.322,0.22,0.97,0.226,0.69,1.0,0.688,0.91,1.97,2.88,0.81,0.59,0.59,0.94,1.59,GF
31,College,32.0,32.0,32.1,11.84,4.38,9.69,0.452,1.59,4.16,0.38299999999999995,1.5,1.72,0.873,0.44,2.94,3.38,5.75,1.59,0.12,1.94,2.0,PG
32,College,34.0,34.0,31.9,10.09,3.21,8.35,0.384,1.76,4.97,0.355,1.91,2.44,0.7829999999999999,0.79,3.18,3.97,1.35,0.74,0.24,1.53,1.68,SF
33,College,37.0,37.0,25.4,12.59,4.95,7.78,0.635,0.0,0.08,0.0,2.7,3.68,0.735,2.57,4.73,7.3,1.38,0.76,2.76,1.59,2.78,C
34,College,37.0,35.0,31.7,10.89,3.84,8.32,0.461,0.46,1.92,0.239,2.76,3.78,0.7290000000000001,1.51,8.32,9.84,2.57,1.3,1.11,1.81,2.65,C
35,College,35.0,35.0,30.7,9.26,3.2,8.37,0.382,1.11,3.51,0.317,1.74,2.11,0.8240000000000001,0.86,2.6,3.46,1.46,0.51,0.49,1.49,1.11,F
36,Overseas,26.0,7.0,18.5,6.96,2.27,4.35,0.522,0.88,2.31,0.38299999999999995,1.54,1.96,0.784,0.58,2.42,3.0,0.69,0.81,0.35,0.73,0.96,SG
37,G League,25.0,25.0,32.6,19.48,6.88,18.28,0.376,2.32,7.52,0.309,2.16,2.72,0.794,0.6,3.72,4.32,3.56,1.24,0.16,3.36,2.4,SG
38,College,34.0,34.0,30.8,13.91,5.35,11.53,0.46399999999999997,1.44,3.76,0.38299999999999995,1.76,2.91,0.606,0.68,2.56,3.24,4.74,2.18,0.24,2.5,2.03,PG
39,Overseas,54.0,11.0,16.0,6.5,2.57,4.15,0.621,0.0,0.0,0.0,1.35,2.39,0.5660000000000001,1.65,2.52,4.17,0.65,0.46,0.7,1.31,2.81,FC
40,College,31.0,31.0,33.3,16.84,5.16,12.81,0.40299999999999997,1.29,4.71,0.27399999999999997,5.23,6.29,0.831,0.71,4.48,5.19,1.39,0.71,0.32,2.1,2.0,GF
41,College,32.0,31.0,33.2,19.41,6.34,12.94,0.49,1.44,3.84,0.374,5.28,6.91,0.765,2.25,5.66,7.91,2.47,0.56,2.5,2.44,2.5,PF
42,College,36.0,26.0,30.2,11.47,4.08,9.75,0.419,1.5,4.81,0.312,1.81,2.69,0.67,0.83,2.61,3.44,2.72,1.22,0.06,1.25,1.28,PG
43,College,32.0,26.0,24.8,9.03,3.66,6.75,0.542,0.09,0.44,0.214,1.62,2.62,0.619,2.38,3.59,5.97,0.81,0.34,0.88,1.47,2.69,PF
44,College,34.0,34.0,32.7,18.85,6.82,14.59,0.46799999999999997,1.38,4.44,0.311,3.82,4.76,0.802,0.68,5.32,6.0,3.62,1.74,0.26,2.18,2.44,G
45,College,33.0,5.0,14.5,6.58,2.52,4.82,0.522,0.06,0.42,0.14300000000000002,1.48,1.97,0.754,1.58,2.18,3.76,0.94,0.82,0.67,0.94,1.76,F
46,Overseas,34.0,33.0,27.1,11.26,4.35,6.76,0.643,0.0,0.0,0.0,2.56,3.91,0.654,2.38,3.88,6.26,0.71,0.68,1.56,1.74,1.79,C
47,College,30.0,28.0,32.5,14.07,4.57,9.57,0.47700000000000004,2.17,5.6,0.387,2.77,3.4,0.8140000000000001,0.9,5.07,5.97,3.03,1.6,1.07,2.87,2.9,SF
